,Date of Birth,Pupil Name,This Year's Birthday,Cake Needed On,Month,BDs per Weekday and Month
822,3/20/2015,Normie Cleave,2022-03-20,Friday,March,31
823,3/27/2015,Andris Somerbell,2022-03-27,Friday,March,31
824,3/20/2014,Hedvig Abbot,2022-03-20,Friday,March,31
825,3/4/2013,Chere Vinson,2022-03-04,Friday,March,31
826,3/27/2013,Darrick Shellard,2022-03-27,Friday,March,31
827,3/11/2014,Thorstein Valente,2022-03-11,Friday,March,31
828,3/18/2014,Reggis Ferandez,2022-03-18,Friday,March,31
829,3/18/2013,Merrily Altamirano,2022-03-18,Friday,March,31
830,3/11/2015,Nannie Ferebee,2022-03-11,Friday,March,31
831,3/12/2012,Catrina Hannabuss,2022-03-12,Friday,March,31
832,3/19/2013,Rosaline Youel,2022-03-19,Friday,March,31
833,3/4/2012,Gwen Glowinski,2022-03-04,Friday,March,31
834,9/13/2014,Hope Dommerque,2022-09-13,Tuesday,September,12
835,9/13/2011,Fair Baumber,2022-09-13,Tuesday,September,12
836,9/27/2013,Leshia Sanderson,2022-09-27,Tuesday,September,12
837,9/20/2011,Trace Neenan,2022-09-20,Tuesday,September,12
838,9/6/2012,Laural Hexum,2022-09-06,Tuesday,September,12
839,9/13/2012,Jany Batcock,2022-09-13,Tuesday,September,12
840,9/6/2013,Stacee Martine,2022-09-06,Tuesday,September,12
841,9/20/2011,Cassie Margaritelli,2022-09-20,Tuesday,September,12
842,9/13/2014,Lina Jedrzejczyk,2022-09-13,Tuesday,September,12
843,9/6/2012,Samara McCuaig,2022-09-06,Tuesday,September,12
844,9/20/2013,Mariska Bront,2022-09-20,Tuesday,September,12
845,9/20/2011,Travus Rousby,2022-09-20,Tuesday,September,12
846,7/4/2012,Annalise Roll,2022-07-04,Monday,July,11
847,7/4/2015,Ernesta Siggers,2022-07-04,Monday,July,11
848,7/11/2013,Daniele McCloy,2022-07-11,Monday,July,11
849,7/4/2013,Mildrid Blurton,2022-07-04,Monday,July,11
850,7/25/2015,Andeee Dorrity,2022-07-25,Monday,July,11
851,7/4/2014,Valerie MacDonagh,2022-07-04,Monday,July,11
852,7/25/2012,Norrie Kencott,2022-07-25,Monday,July,11
853,7/11/2012,Franciska Betonia,2022-07-11,Monday,July,11
854,7/18/2013,Agnese Wahlberg,2022-07-18,Monday,July,11
855,7/4/2014,Codi Widger,2022-07-04,Monday,July,11
856,7/18/2014,Felike Whardley,2022-07-18,Monday,July,11
857,4/26/2014,Hayley Rizzini,2022-04-26,Tuesday,April,4
858,4/26/2015,Margi Sentance,2022-04-26,Tuesday,April,4
859,4/5/2014,Hardy Burford,2022-04-05,Tuesday,April,4
860,4/5/2015,Ferd Dey,2022-04-05,Tuesday,April,4
861,2/1/2015,Yancey Bachellier,2022-02-01,Tuesday,February,13
862,2/1/2015,Ronnie Narducci,2022-02-01,Tuesday,February,13
863,2/1/2012,Jacques Cosins,2022-02-01,Tuesday,February,13
864,2/15/2015,Wileen Scamadine,2022-02-15,Tuesday,February,13
865,2/15/2015,Antonie Worcester,2022-02-15,Tuesday,February,13
866,2/15/2013,Adina Gawthorpe,2022-02-15,Tuesday,February,13
867,2/15/2014,Dominga Peat,2022-02-15,Tuesday,February,13
868,2/1/2015,Cam Riccardini,2022-02-01,Tuesday,February,13
869,2/22/2012,Louis Gabbatiss,2022-02-22,Tuesday,February,13
870,2/1/2012,Emmott Gosson,2022-02-01,Tuesday,February,13
871,2/1/2013,Olwen Callicott,2022-02-01,Tuesday,February,13
872,2/1/2015,Clovis Okeshott,2022-02-01,Tuesday,February,13
873,2/15/2015,Ninetta Worling,2022-02-15,Tuesday,February,13
874,3/2/2012,Brantley Thorley,2022-03-02,Wednesday,March,6
875,3/30/2013,Price Harrald,2022-03-30,Wednesday,March,6
876,3/2/2013,Aharon Ricardin,2022-03-02,Wednesday,March,6
877,3/23/2012,Patience Turfin,2022-03-23,Wednesday,March,6
878,3/2/2012,Frieda Peart,2022-03-02,Wednesday,March,6
879,3/9/2013,Jerry Archard,2022-03-09,Wednesday,March,6
880,10/4/2013,Toddie Nanetti,2022-10-04,Tuesday,October,9
881,10/25/2013,Kimbra Whelan,2022-10-25,Tuesday,October,9
882,10/25/2011,Rona Hammill,2022-10-25,Tuesday,October,9
883,10/4/2014,Alf Stiff,2022-10-04,Tuesday,October,9
884,10/18/2011,Drucy Greet,2022-10-18,Tuesday,October,9
885,10/4/2014,Hagan Rawne,2022-10-04,Tuesday,October,9
886,10/18/2012,Kip Bannell,2022-10-18,Tuesday,October,9
887,10/25/2012,Glennis Eastlake,2022-10-25,Tuesday,October,9
888,10/4/2014,Dela Corradeschi,2022-10-04,Tuesday,October,9
889,2/9/2014,Shanie Croisier,2022-02-09,Wednesday,February,8
890,2/16/2014,Lucina Gouley,2022-02-16,Wednesday,February,8
891,2/9/2012,Bondon Antonazzi,2022-02-09,Wednesday,February,8
892,2/16/2014,Estella Brende,2022-02-16,Wednesday,February,8
893,2/16/2015,Stevana Baddiley,2022-02-16,Wednesday,February,8
894,2/9/2012,Maryjo Dewicke,2022-02-09,Wednesday,February,8
895,2/9/2014,Waly Tomet,2022-02-09,Wednesday,February,8
896,2/2/2013,Hannis Loughran,2022-02-02,Wednesday,February,8
897,3/8/2013,Iseabal Aldwinckle,2022-03-08,Tuesday,March,13
898,3/8/2013,Cello Milnes,2022-03-08,Tuesday,March,13
899,3/15/2014,Caleb Kupka,2022-03-15,Tuesday,March,13
900,3/22/2013,Jaimie Bebbell,2022-03-22,Tuesday,March,13
901,3/29/2012,Winny Scoggans,2022-03-29,Tuesday,March,13
902,3/15/2013,Blinny Upwood,2022-03-15,Tuesday,March,13
903,3/1/2015,Cass Seivertsen,2022-03-01,Tuesday,March,13
904,3/22/2012,Sherilyn Jilkes,2022-03-22,Tuesday,March,13
905,3/1/2014,Brig Tremontana,2022-03-01,Tuesday,March,13
906,3/15/2015,Michele Keford,2022-03-15,Tuesday,March,13
907,3/22/2013,Deb Martina,2022-03-22,Tuesday,March,13
908,3/29/2013,Terry Sloey,2022-03-29,Tuesday,March,13
909,3/29/2015,Farra Laidler,2022-03-29,Tuesday,March,13
910,6/20/2014,Iona Ballister,2022-06-20,Monday,June,9
911,6/6/2013,Hi Oleksiak,2022-06-06,Monday,June,9
912,6/6/2012,Karoline Gash,2022-06-06,Monday,June,9
913,6/20/2014,Grace Fernie,2022-06-20,Monday,June,9
914,6/6/2014,De witt Moorton,2022-06-06,Monday,June,9
915,6/27/2015,Tiphany Yepiskov,2022-06-27,Monday,June,9
916,6/20/2012,Janina Goulstone,2022-06-20,Monday,June,9
917,6/27/2015,Laird Dainty,2022-06-27,Monday,June,9
918,6/20/2014,Farra Congreave,2022-06-20,Monday,June,9
919,7/13/2013,Shirline Longstaff,2022-07-13,Wednesday,July,19
920,7/20/2013,Lorraine Halbard,2022-07-20,Wednesday,July,19
921,7/6/2012,Floria Kitlee,2022-07-06,Wednesday,July,19
922,7/20/2013,Osgood Darnborough,2022-07-20,Wednesday,July,19
923,7/6/2015,Alia Whayman,2022-07-06,Wednesday,July,19
924,7/6/2012,Alyson Lindsell,2022-07-06,Wednesday,July,19
925,7/13/2012,Aland Ashlee,2022-07-13,Wednesday,July,19
926,7/6/2014,Shaylah Bottle,2022-07-06,Wednesday,July,19
927,7/20/2013,Jdavie Chard,2022-07-20,Wednesday,July,19
928,7/13/2013,Tammy Elcombe,2022-07-13,Wednesday,July,19
929,7/27/2012,Krystle Davage,2022-07-27,Wednesday,July,19
930,7/20/2013,Esmaria Tawn,2022-07-20,Wednesday,July,19
931,7/27/2015,Miles Pavitt,2022-07-27,Wednesday,July,19
932,7/13/2014,Norris Denness,2022-07-13,Wednesday,July,19
933,7/6/2015,Basia Oswal,2022-07-06,Wednesday,July,19
934,7/27/2012,Carri Livings,2022-07-27,Wednesday,July,19
935,7/20/2013,Bary Amyes,2022-07-20,Wednesday,July,19
936,7/13/2014,Meyer Barca,2022-07-13,Wednesday,July,19
937,7/20/2014,Chrotoem Thominga,2022-07-20,Wednesday,July,19
938,2/14/2013,Glynda O'Corrin,2022-02-14,Monday,February,12
939,2/28/2012,Ericka Ebourne,2022-02-28,Monday,February,12
940,2/7/2012,Shirline Saben,2022-02-07,Monday,February,12
941,2/7/2013,Bobbette Whiteley,2022-02-07,Monday,February,12
942,2/14/2012,Christoforo Gillon,2022-02-14,Monday,February,12
943,2/28/2015,Jorgan Beggan,2022-02-28,Monday,February,12
944,2/7/2014,Maggi Readwood,2022-02-07,Monday,February,12
945,2/28/2015,Ebenezer Tussaine,2022-02-28,Monday,February,12
946,2/28/2012,Fairleigh Janusz,2022-02-28,Monday,February,12
947,2/28/2012,Katlin Bumphrey,2022-02-28,Monday,February,12
948,2/7/2015,Guinna O'Currine,2022-02-07,Monday,February,12
949,2/21/2014,Wakefield Pleaden,2022-02-21,Monday,February,12
950,5/5/2013,Denice Espinet,2022-05-05,Thursday,May,12
951,5/26/2015,Gaye Dallison,2022-05-26,Thursday,May,12
952,5/5/2013,Ivar Noddings,2022-05-05,Thursday,May,12
953,5/19/2013,Sasha Tukesby,2022-05-19,Thursday,May,12
954,5/12/2013,Korella Lavelle,2022-05-12,Thursday,May,12
955,5/26/2014,Minnaminnie Vaneev,2022-05-26,Thursday,May,12
956,5/5/2015,Sinclair Blacklock,2022-05-05,Thursday,May,12
957,5/12/2015,Jacinda Gelderd,2022-05-12,Thursday,May,12
958,5/12/2012,Red Braybrook,2022-05-12,Thursday,May,12
959,5/12/2012,Melvin Halfhyde,2022-05-12,Thursday,May,12
960,5/19/2014,Rosana Zoellner,2022-05-19,Thursday,May,12
961,5/26/2013,Bridie Hembery,2022-05-26,Thursday,May,12
962,8/15/2012,Brady Seeds,2022-08-15,Monday,August,12
963,8/15/2013,Grover Barstock,2022-08-15,Monday,August,12
964,8/29/2013,Ranna Eagland,2022-08-29,Monday,August,12
965,8/1/2015,Prudy Duetsche,2022-08-01,Monday,August,12
966,8/29/2015,Buckie Ezzle,2022-08-29,Monday,August,12
967,8/22/2013,Adlai Trippitt,2022-08-22,Monday,August,12
968,8/15/2012,Dru Lorryman,2022-08-15,Monday,August,12
969,8/1/2013,Randell Gummow,2022-08-01,Monday,August,12
970,8/22/2012,Alyda Drinkel,2022-08-22,Monday,August,12
971,8/22/2013,Melanie Glassard,2022-08-22,Monday,August,12
972,8/22/2015,Bartlett Chilvers,2022-08-22,Monday,August,12
973,8/8/2013,Carlyle Bestwick,2022-08-08,Monday,August,12
974,4/7/2015,Graehme Ditch,2022-04-07,Thursday,April,11
975,4/7/2013,Maximo Greenin,2022-04-07,Thursday,April,11
976,4/7/2013,Emmie Laba,2022-04-07,Thursday,April,11
977,4/21/2013,Babs Swaysland,2022-04-21,Thursday,April,11
978,4/7/2014,Elianora Killshaw,2022-04-07,Thursday,April,11
979,4/21/2015,Pail Weadick,2022-04-21,Thursday,April,11
980,4/14/2015,Muhammad Daysh,2022-04-14,Thursday,April,11
981,4/14/2012,Drusi Beckenham,2022-04-14,Thursday,April,11
982,4/7/2015,Rosemonde Grovier,2022-04-07,Thursday,April,11
983,4/21/2012,Leroi Heikkinen,2022-04-21,Thursday,April,11
984,4/28/2013,Seumas Plum,2022-04-28,Thursday,April,11
985,3/14/2015,Doralynne Sekulla,2022-03-14,Monday,March,8
986,3/28/2014,Garnette Chiese,2022-03-28,Monday,March,8
987,3/28/2012,Cristina Oseman,2022-03-28,Monday,March,8
988,3/28/2013,Saree Farquhar,2022-03-28,Monday,March,8
989,3/7/2015,Ronica Proppers,2022-03-07,Monday,March,8
990,3/21/2013,Vonni Mullin,2022-03-21,Monday,March,8
991,3/21/2015,Keelia McBoyle,2022-03-21,Monday,March,8
992,3/28/2015,Brig Lawty,2022-03-28,Monday,March,8
993,5/2/2015,Idell Shropshire,2022-05-02,Monday,May,7
994,5/16/2014,Dacie Hunnam,2022-05-16,Monday,May,7
995,5/2/2014,Emylee Shawel,2022-05-02,Monday,May,7
996,5/2/2014,Lonnard Stivey,2022-05-02,Monday,May,7
997,5/2/2013,Adah Townson,2022-05-02,Monday,May,7
998,5/30/2015,Jacklin Biggerstaff,2022-05-30,Monday,May,7
999,5/2/2014,Dyan Heckney,2022-05-02,Monday,May,7
